dateTime,timestamp,status,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2019-04-30 22:23:45.046474,22:23:45,A,3259.52832,N,09645.47036,W,0.319,,2019-04-30,,
2019-04-30 22:23:48.050012,22:23:48,A,3259.52848,N,09645.47032,W,0.104,,2019-04-30,,
2019-04-30 22:23:51.050948,22:23:51,A,3259.52837,N,09645.47029,W,0.016,,2019-04-30,,
2019-04-30 22:23:54.050354,22:23:54,A,3259.52829,N,09645.47021,W,0.022,,2019-04-30,,
2019-04-30 22:23:57.048918,22:23:57,A,3259.52825,N,09645.47017,W,0.126,,2019-04-30,,
2019-04-30 22:24:00.052186,22:24:00,A,3259.52809,N,09645.47017,W,0.458,,2019-04-30,,
2019-04-30 22:24:03.047615,22:24:03,A,3259.52800,N,09645.47023,W,0.075,,2019-04-30,,
2019-04-30 22:24:06.056960,22:24:06,A,3259.52784,N,09645.47025,W,0.291,,2019-04-30,,
2019-04-30 22:24:09.048164,22:24:09,A,3259.52764,N,09645.47023,W,0.047,,2019-04-30,,
2019-04-30 22:24:14.049288,22:24:14,A,3259.52751,N,09645.47023,W,0.118,,2019-04-30,,
2019-04-30 22:24:17.050130,22:24:17,A,3259.52749,N,09645.47021,W,0.056,,2019-04-30,,
2019-04-30 22:24:20.052076,22:24:20,A,3259.52749,N,09645.47025,W,0.011,,2019-04-30,,
2019-04-30 22:24:23.051495,22:24:23,A,3259.52754,N,09645.47025,W,0.154,,2019-04-30,,
2019-04-30 22:24:26.050277,22:24:26,A,3259.52756,N,09645.47027,W,0.15,,2019-04-30,,
2019-04-30 22:24:29.049791,22:24:29,A,3259.52751,N,09645.47025,W,0.393,,2019-04-30,,
2019-04-30 22:24:32.050076,22:24:32,A,3259.52755,N,09645.47027,W,0.115,,2019-04-30,,
2019-04-30 22:24:35.049425,22:24:35,A,3259.52751,N,09645.47028,W,0.372,,2019-04-30,,
2019-04-30 22:24:38.052344,22:24:38,A,3259.52755,N,09645.47033,W,0.009,,2019-04-30,,
2019-04-30 22:24:41.049086,22:24:41,A,3259.52763,N,09645.47040,W,0.145,,2019-04-30,,
2019-04-30 22:24:44.051976,22:24:44,A,3259.52763,N,09645.47045,W,0.13,,2019-04-30,,
2019-04-30 22:24:47.048282,22:24:47,A,3259.52778,N,09645.47050,W,0.136,,2019-04-30,,
2019-04-30 22:24:50.049021,22:24:50,A,3259.52797,N,09645.47057,W,0.42,,2019-04-30,,
2019-04-30 22:24:55.048498,22:24:55,A,3259.52786,N,09645.47063,W,0.295,,2019-04-30,,
2019-04-30 22:24:58.050395,22:24:58,A,3259.52799,N,09645.47072,W,0.423,,2019-04-30,,
2019-04-30 22:25:01.046559,22:25:01,A,3259.52803,N,09645.47076,W,0.067,,2019-04-30,,
2019-04-30 22:25:06.057843,22:25:06,A,3259.52783,N,09645.47075,W,0.147,,2019-04-30,,
2019-04-30 22:25:09.048945,22:25:09,A,3259.52787,N,09645.47074,W,0.116,,2019-04-30,,
2019-04-30 22:25:12.048776,22:25:12,A,3259.52793,N,09645.47065,W,0.028,,2019-04-30,,
2019-04-30 22:25:17.048339,22:25:17,A,3259.52808,N,09645.47052,W,0.036,,2019-04-30,,
2019-04-30 22:25:20.051452,22:25:20,A,3259.52808,N,09645.47049,W,0.11,,2019-04-30,,
2019-04-30 22:25:23.047390,22:25:23,A,3259.52790,N,09645.47041,W,0.393,,2019-04-30,,
2019-04-30 22:25:28.051671,22:25:28,A,3259.52784,N,09645.47031,W,0.121,,2019-04-30,,
2019-04-30 22:25:31.050082,22:25:31,A,3259.52794,N,09645.47033,W,0.387,,2019-04-30,,
2019-04-30 22:25:34.049691,22:25:34,A,3259.52785,N,09645.47031,W,0.132,,2019-04-30,,
2019-04-30 22:25:37.050209,22:25:37,A,3259.52775,N,09645.47025,W,0.314,,2019-04-30,,
2019-04-30 22:25:40.051368,22:25:40,A,3259.52776,N,09645.47020,W,0.042,,2019-04-30,,
2019-04-30 22:25:43.054693,22:25:43,A,3259.52764,N,09645.47014,W,0.067,,2019-04-30,,
2019-04-30 22:25:46.053822,22:25:46,A,3259.52763,N,09645.47007,W,0.075,,2019-04-30,,
2019-04-30 22:25:49.051301,22:25:49,A,3259.52743,N,09645.46998,W,0.071,,2019-04-30,,
2019-04-30 22:25:52.051103,22:25:52,A,3259.52731,N,09645.46993,W,0.09,,2019-04-30,,
2019-04-30 22:25:55.051166,22:25:55,A,3259.52724,N,09645.46988,W,0.1,,2019-04-30,,
2019-04-30 22:25:58.052354,22:25:58,A,3259.52707,N,09645.46987,W,0.116,,2019-04-30,,
2019-04-30 22:26:01.050212,22:26:01,A,3259.52703,N,09645.46985,W,0.141,,2019-04-30,,
2019-04-30 22:26:04.056179,22:26:04,A,3259.52707,N,09645.46981,W,0.151,,2019-04-30,,
2019-04-30 22:26:09.051499,22:26:09,A,3259.52695,N,09645.46977,W,0.003,,2019-04-30,,
2019-04-30 22:26:12.053088,22:26:12,A,3259.52711,N,09645.46980,W,0.145,,2019-04-30,,
2019-04-30 22:26:15.052159,22:26:15,A,3259.52723,N,09645.46982,W,0.249,,2019-04-30,,
2019-04-30 22:26:18.052233,22:26:18,A,3259.52743,N,09645.46985,W,0.125,,2019-04-30,,
2019-04-30 22:26:21.049873,22:26:21,A,3259.52763,N,09645.46988,W,0.118,,2019-04-30,,
2019-04-30 22:26:24.053563,22:26:24,A,3259.52792,N,09645.46986,W,0.481,,2019-04-30,,
2019-04-30 22:26:27.050275,22:26:27,A,3259.52803,N,09645.46986,W,0.023,,2019-04-30,,
2019-04-30 22:26:30.052072,22:26:30,A,3259.52826,N,09645.46981,W,0.077,,2019-04-30,,
2019-04-30 22:26:33.050528,22:26:33,A,3259.52851,N,09645.46980,W,0.601,,2019-04-30,,
2019-04-30 22:26:36.052445,22:26:36,A,3259.52851,N,09645.46982,W,0.069,,2019-04-30,,
2019-04-30 22:26:39.048972,22:26:39,A,3259.52834,N,09645.46979,W,0.053,,2019-04-30,,
2019-04-30 22:26:44.054013,22:26:44,A,3259.52823,N,09645.46973,W,0.174,,2019-04-30,,
2019-04-30 22:26:47.050492,22:26:47,A,3259.52809,N,09645.46971,W,0.047,,2019-04-30,,
2019-04-30 22:26:50.051158,22:26:50,A,3259.52803,N,09645.46965,W,0.117,,2019-04-30,,
2019-04-30 22:26:55.053238,22:26:55,A,3259.52784,N,09645.46956,W,0.135,,2019-04-30,,
2019-04-30 22:26:58.053970,22:26:58,A,3259.52807,N,09645.46945,W,0.023,,2019-04-30,,
2019-04-30 22:27:01.049635,22:27:01,A,3259.52804,N,09645.46945,W,0.034,,2019-04-30,,
2019-04-30 22:27:06.060660,22:27:06,A,3259.52800,N,09645.46946,W,0.231,,2019-04-30,,
2019-04-30 22:27:09.053266,22:27:09,A,3259.52800,N,09645.46948,W,0.112,,2019-04-30,,
2019-04-30 22:27:12.052395,22:27:12,A,3259.52796,N,09645.46952,W,0.187,,2019-04-30,,
2019-04-30 22:27:15.052553,22:27:15,A,3259.52782,N,09645.46956,W,0.052,,2019-04-30,,
2019-04-30 22:27:18.053889,22:27:18,A,3259.52775,N,09645.46963,W,0.052,,2019-04-30,,
2019-04-30 22:27:21.053818,22:27:21,A,3259.52773,N,09645.46967,W,0.059,,2019-04-30,,
2019-04-30 22:27:24.054129,22:27:24,A,3259.52761,N,09645.46968,W,0.188,,2019-04-30,,
2019-04-30 22:27:27.053200,22:27:27,A,3259.52762,N,09645.46967,W,0.036,,2019-04-30,,
2019-04-30 22:27:30.051390,22:27:30,A,3259.52765,N,09645.46968,W,0.023,,2019-04-30,,
2019-04-30 22:27:35.053430,22:27:35,A,3259.52748,N,09645.46971,W,0.141,,2019-04-30,,
2019-04-30 22:27:38.054671,22:27:38,A,3259.52753,N,09645.46973,W,0.03,,2019-04-30,,
2019-04-30 22:27:41.049029,22:27:41,A,3259.52732,N,09645.46973,W,0.32,,2019-04-30,,
2019-04-30 22:27:46.057173,22:27:46,A,3259.52725,N,09645.46975,W,0.021,,2019-04-30,,
2019-04-30 22:27:49.052476,22:27:49,A,3259.52719,N,09645.46978,W,0.162,,2019-04-30,,
2019-04-30 22:27:52.054760,22:27:52,A,3259.52706,N,09645.46980,W,0.191,,2019-04-30,,
